timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T175823.578425	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2404601218	151	0	11	DONE	NEXT	1	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.611405	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	450121543	153	0	14	DONE	NEXT	1	[4 4]	0.9125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.659897	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2448189027	155	0	18	DONE	NEXT	1	[4 4]	0.8875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.958021	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1169602901	157	0	34	DONE	NEXT	1	[4 4]	0.7875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175823.992226	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3932158071	159	0	13	DONE	NEXT	1	[4 4]	0.91875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.030512	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	403537160	161	0	15	DONE	NEXT	1	[4 4]	0.90625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.050187	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3701061193	163	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.103785	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1254119	164	0	23	DONE	NEXT	0	[4 4]	0.85625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.166311	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3965353586	167	0	28	DONE	NEXT	0	[4 4]	0.825	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.247452	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3785227762	169	0	37	DONE	NEXT	1	[4 4]	0.76875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.386208	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2161066895	171	0	56	DONE	NEXT	1	[4 4]	0.6499999999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.411310	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	978047941	176	0	11	DONE	NEXT	1	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.649836	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1829155773	177	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.696350	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3148619896	179	0	20	DONE	NEXT	1	[4 4]	0.875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.712688	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2003491585	181	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.735583	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2788706333	182	0	11	DONE	NEXT	1	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.830592	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	4216354783	183	0	37	DONE	NEXT	1	[4 4]	0.76875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.855892	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1268800225	187	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
