sg_name	agent_config	run_id	perf_recovery	perf_maintenance_mrtlp	perf_maintenance_mrlep	forward_transfer_contrast	backward_transfer_contrast	forward_transfer_ratio	backward_transfer_ratio	ste_rel_perf	sample_efficiency	complexity	difficulty	metrics_column	min	max	num_lx	num_ex
eval	agent_config-0	3-high_1-easy_example-1607409872-071424	-0.0	1.6596901862578783	1.3048655835004626	0.8009258783059734	0.006057532237871228	0.5182002890019186	1.0121898104524591	1.2128966831535601	0.7349130467673273	3-high	1-easy	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_1-easy_example-1607409875-5755112	-0.0	3.251817217748819	2.616901989361947	0.5804276823774075	0.015315607821988996	3.0059417822171968	1.0311204776676592	1.197319397339202	0.7306713688602127	3-high	1-easy	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_1-easy_example-1607409878-1805103	-0.0	5.698484727708594	3.9849073602972562	0.5721265091603606	0.006615317366137691	0.9757760462055237	1.013324467477542	1.2102083690493008	0.7312353545079512	3-high	1-easy	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_1-easy_example-1607409880-766628	-0.0	2.350814181477958	2.027526928560757	0.7155639898611885	0.012932202616052345	2.007771144538394	1.0262032806453012	1.2068719253596292	0.7306712242566757	3-high	1-easy	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_1-easy_example-1607409883-3952317	-0.0	2.82381308099237	1.7491212924857562	0.2348935488492976	0.011019821225223152	0.38033997815151743	1.0222932868689274	1.1630844335054729	0.7306074760943067	3-high	1-easy	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_2-medium_example-1607409928-62183	-0.0	4.543826584742288	3.7487758619144884	0.7118398099381926	0.034545378324579254	0.7891858756728295	1.0715861267056475	1.0786669467946466	0.7312540484671733	3-high	2-medium	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_2-medium_example-1607409978-82053	-0.0	4.77331057252447	3.8910830859100347	0.8547388593727683	0.018785889864718026	2.552220390915772	1.0382911388196279	1.1072528855084207	0.7328749383622364	3-high	2-medium	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_2-medium_example-1607409981-098672	-0.0	6.338891166586372	5.7759441203375586	0.6960753612178998	0.06007812900271706	1.9687080572647466	1.1287032153430578	1.0918148262910496	0.7319649772215893	3-high	2-medium	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_2-medium_example-1607409983-5332937	-0.0	4.999653045843713	3.3591220395866968	0.5675556486303204	0.052635247135607174	0.7117350272787165	1.1111787901587753	1.058718700289669	0.7306579062492489	3-high	2-medium	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_2-medium_example-1607409986-119414	-0.0	2.3885265592658973	2.3462327481573046	0.7518651226536464	0.019245128912602258	0.30137177644663066	1.0392549097841086	1.1847093246111449	0.7306471139677204	3-high	2-medium	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_3-hard_example-1607410001-0531347	-0.0	6.927668474213709	5.939735828687329	0.7785868840149761	0.05903470666639912	1.4963946887495125	1.1256082481304692	1.0196505902926454	0.7302698326254817	3-high	3-hard	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_3-hard_example-1607410012-0584083	-0.0	5.476156543561956	4.70604848821947	0.8528717230908544	0.04157722348196475	1.4525292537061028	1.0867991826852994	1.0464715539639335	0.7299261488847517	3-high	3-hard	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_3-hard_example-1607410014-569153	-0.0	5.730770086100427	4.3400280834532765	0.8905304292169571	0.05627817286919563	1.157471256456434	1.119361927760221	1.0172218452396187	0.734153387416103	3-high	3-hard	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_3-hard_example-1607410016-884525	-0.0	5.530387905202475	4.551981484362593	0.7882916699650253	0.05326001095429098	3.3160207672054693	1.1128453367655378	1.0899565423847308	0.7351730740687425	3-high	3-hard	performance	0.0	100.0	2000	1600
eval	agent_config-0	3-high_3-hard_example-1607410019-503239	-0.0	7.558925701149324	6.06460575543786	0.8311127296007517	0.05371379955590201	3.4121561400479696	1.1135334032478164	1.0727979604032176	0.7310034352765731	3-high	3-hard	performance	0.0	100.0	2000	1600
